target,horizon,fold,rows,current_c0_mape,best_single_branch,best_single_mape,full_oracle_mape,split_half_oracle_mape,full_oracle_weights
generator_1,15,dev_01,192,0.030279364646762064,persistence_pred,0.03131865917258478,0.029764347643428127,0.03049305912077724,"[0.49888706057743615, 2.7677987302981125e-18, 0.25319705026093803, 7.407303958374622e-18, 0.24791588916162588]"
generator_1,15,dev_02,192,0.02766710156347681,lgb_residual_pred,0.028689931713345673,0.027445348052816437,0.027683431362402002,"[0.5334355413115954, 8.32099303327464e-19, 0.08035321010934213, 2.0991518472909202e-19, 0.3862112485790627]"
generator_1,15,dev_03,192,0.03667020855078147,lgb_residual_pred,0.036307466333986065,0.035487916384800526,0.03714382059496928,"[0.2620356352709404, 0.23631365753432246, 7.671700406075918e-18, 0.11820270666569442, 0.3834480005290427]"
generator_1,15,dev_04,192,0.037035494499437736,persistence_pred,0.03779637692719317,0.03701700046734459,0.03833974029559155,"[0.653006507398042, 2.5614559023610535e-17, 2.4690975331352182e-21, 0.1332595893665562, 0.21373390323540198]"
generator_1,15,dev_05,192,0.02765843125867115,persistence_pred,0.028304609656623774,0.02740759331417515,0.02813657142354639,"[0.42998109844458493, 3.082561562955067e-17, 0.3445181479940894, 0.22550075356132554, 1.1463033794590843e-17]"
generator_1,15,dev_06,192,0.01850928156418172,persistence_pred,0.01953328534921873,0.018541360547243278,0.01896515123928814,"[0.6445892420019385, 7.016438830839296e-19, 3.782130253025348e-18, 0.013212559964584201, 0.3421981980334775]"
generator_1,15,dev_07,192,0.028448307867026807,persistence_pred,0.029598356378027296,0.028295546260576735,0.029389888819289566,"[0.5460819947023319, 4.949774822143228e-17, 1.6581150648728562e-17, 1.1308677157573594e-19, 0.453918005297668]"
generator_1,15,dev_08,192,0.03962817836038216,gas_ridge_pred,0.0403808922682433,0.03916610231991418,0.03938512923045292,"[0.4237639618415243, 2.015707604624876e-17, 8.971467524635162e-18, 0.02174781228055652, 0.5544882258779192]"
generator_1,15,dev_09,192,0.03204642940602354,gas_ridge_pred,0.03238809373857467,0.03183952667600077,0.03231899176096565,"[0.26419453021179806, 5.5412129920858285e-19, 1.025244934113817e-17, 0.1253024537776147, 0.6105030160105873]"
generator_1,15,dev_10,192,0.03169368051191452,lgb_residual_pred,0.03257448858238432,0.03155809279689678,0.03228279345045896,"[0.50251271337332, 9.425580411148807e-19, 0.1575597974310423, 2.8627324100234404e-16, 0.3399274891956373]"
generator_1,15,dev_11,192,0.041710099586814854,gas_ridge_pred,0.04151418594660632,0.04129016163910231,0.04153114318558151,"[0.24608739958425102, 8.488567543991496e-19, 0.07754799049581947, 0.5286764332660568, 0.147688176653873]"
generator_1,15,dev_12,192,0.043516695611863276,gas_ridge_pred,0.04394950259092443,0.04340723037909025,0.04396708689302823,"[0.3496924868292475, 3.7398043974223996e-17, 3.9079746375363305e-17, 0.5071028585360137, 0.1432046546347387]"
generator_1,15,dev_13,192,0.02220901608522179,persistence_pred,0.02253588368606151,0.022107608457291608,0.022225768195770147,"[0.65449170743434, 1.7881250219407812e-18, 5.1106002134942153e-17, 5.950779539851667e-17, 0.34550829256565957]"
generator_1,15,dev_14,192,0.019164101698613736,gas_ridge_pred,0.019222614198969815,0.018908276076919937,0.0190851867468434,"[0.17384983227339376, 2.49880387781727e-17, 1.075684228988445e-16, 0.4850512733777462, 0.3410988943488601]"
generator_1,15,dev_15,192,0.022314353256955726,persistence_pred,0.02244964647940023,0.022217986899506364,0.022625904876210894,"[0.7142078742366746, 6.367264269103494e-17, 0.0008166460620831732, 8.782997391527068e-19, 0.2849754797012423]"
generator_1,15,dev_16,192,0.02299312440683365,recent_ridge_pred,0.02287299765212096,0.022507695513861215,0.023023094552998908,"[0.24888046358390542, 8.302648564923349e-17, 0.5351214764162207, 8.01333915745947e-18, 0.2159980599998738]"
generator_1,15,dev_17,192,0.03262657435383961,recent_ridge_pred,0.03217742777935426,0.031997500000878885,0.03251246617581744,"[5.434693311131892e-19, 1.937442832423279e-18, 0.6002047899883699, 0.25774922287098606, 0.14204598714064398]"
generator_1,15,dev_18,192,0.027259849645673656,lgb_residual_pred,0.02573229494727236,0.025732294947272527,0.025732294947272364,"[0.0, 2.3314683517128287e-15, 0.0, 2.8462433409129016e-17, 0.9999999999999996]"
generator_1,15,dev_19,192,0.026714930393529613,lgb_residual_pred,0.026624866980265543,0.02639395186064106,0.027295145219650097,"[0.2062877895706025, 6.515112609330446e-17, 9.859550133398545e-18, 0.3123332178603866, 0.48137899256901096]"
generator_1,30,dev_01,192,0.03787470124585988,persistence_pred,0.038813065835338674,0.03680206356282232,0.03789976624770786,"[0.5634359176421654, 2.0301799316125888e-18, 0.1807994955821999, 7.76025304167627e-18, 0.2557645867756348]"
generator_1,30,dev_02,192,0.037196125952772253,persistence_pred,0.03757027830126119,0.036947961517294355,0.038133100180709166,"[0.7309400107655882, 0.19592897423134498, 0.07313101500306693, 1.9840589826875552e-19, 5.421804578697895e-20]"
generator_1,30,dev_03,192,0.0513291116056771,ridge_pred,0.049611887168786915,0.04822521980124361,0.0485009288691868,"[0.11586748741210148, 0.008526490421417085, 4.128648480622588e-21, 0.38141733061100985, 0.49418869155547157]"
generator_1,30,dev_04,192,0.049070659392076915,persistence_pred,0.04995570630240021,0.04899082385280848,0.04942682680113667,"[0.7321802965077835, 4.248863067394883e-17, 1.2339493816440429e-18, 0.23340876023513293, 0.03441094325708352]"
generator_1,30,dev_05,192,0.03444756603061506,persistence_pred,0.035102762319042226,0.034214947606184994,0.03486260090896959,"[0.6336234407149293, 2.7314041544077505e-19, 0.27309260460051327, 4.241515146933693e-22, 0.09328395468455766]"
generator_1,30,dev_06,192,0.02504490631585496,persistence_pred,0.026026318949223165,0.025056001563015698,0.02511974641188901,"[0.7099662031092829, 1.315492462591288e-19, 3.913099306703355e-18, 3.385591444965223e-19, 0.2900337968907173]"
generator_1,30,dev_07,192,0.04225955262117979,persistence_pred,0.043511743877439134,0.04184853143439449,0.042538043405863785,"[0.5263817212891284, 0.32958060599917716, 2.114353262080904e-18, 0.14403767271169457, 5.041586993395322e-18]"
generator_1,30,dev_08,192,0.058131404567780376,gas_ridge_pred,0.05729278509042621,0.057166496268826604,0.059475323902610976,"[0.12131150969789224, 7.006593802338239e-18, 3.7310145263542375e-19, 0.6930470167164788, 0.185641473585629]"
generator_1,30,dev_09,192,0.04450897749364171,persistence_pred,0.04557801490038115,0.044302558494879386,0.0450341670430755,"[0.4988772621765409, 9.321919327213508e-17, 4.323955973809199e-17, 0.03069733000860419, 0.47042540781485487]"
generator_1,30,dev_10,192,0.04471513990842713,persistence_pred,0.04485340570327737,0.04414495631908,0.045842754060763186,"[0.7127888797146985, 5.823304846832635e-22, 7.88301980262354e-17, 2.601095694710548e-22, 0.28721112028530155]"
generator_1,30,dev_11,192,0.059289818387025815,gas_ridge_pred,0.059625662935006755,0.058909861222602576,0.05998334646642794,"[0.3658831792432156, 3.266243487643744e-17, 9.73006135284625e-19, 0.25154019488053647, 0.382576625876248]"
generator_1,30,dev_12,192,0.0672512753498775,persistence_pred,0.06886518995900702,0.06697422592991191,0.06763561487577724,"[0.5107859046655786, 1.1579066036146221e-17, 0.1837070762721677, 0.30550701906225713, 1.400939378592274e-17]"
