candidate,weight,pooled_mape,delta_pp,fold_wins,recent5_wins,max_fold_regression_pp
x1_blend_00_pred,0.0,0.05253763756249421,0.0,0,0,0.0
x1_blend_05_pred,0.05,0.05420317609679303,0.16655385342988216,4,2,1.1729670852035634
x1_blend_10_pred,0.1,0.057355336392314764,0.4817698829820555,2,1,2.947594564339727
x1_blend_15_pred,0.15,0.06118640508766918,0.8648767525174967,0,0,4.880344248122808
x1_blend_20_pred,0.2,0.06552079528488199,1.2983157722387777,0,0,6.951613866837461
