candidate,pooled_mape,delta_pp,generator_1_mape,generator_all_mape,fold_wins,recent5_wins,max_fold_regression_pp
S06_target_horizon_lg0.25_lt0.25_smooth,0.0525734502306055,-0.0026672281999887137,0.06138008311817803,0.04376681734303296,11,5,0.18723435530749316
S10_target_horizon_lg0.50_lt0.00_smooth,0.0525734502306055,-0.0026672281999887137,0.06138008311817803,0.04376681734303296,11,5,0.18723435530749316
S07_target_horizon_lg0.25_lt0.50_raw,0.05257383949095861,-0.0026283021646776594,0.06138086163888425,0.04376681734303296,10,4,0.1856955420968004
S11_target_horizon_lg0.50_lt0.25_raw,0.05257383949095861,-0.0026283021646776594,0.06138086163888425,0.04376681734303296,10,4,0.1856955420968004
S13_target_horizon_lg0.75_lt0.00_raw,0.05257383949095861,-0.0026283021646776594,0.06138086163888425,0.04376681734303296,10,4,0.1856955420968004
S08_target_horizon_lg0.25_lt0.50_smooth,0.0525738634723907,-0.0026259040214686447,0.06138090960174845,0.04376681734303296,10,4,0.18562422594805006
S12_target_horizon_lg0.50_lt0.25_smooth,0.0525738634723907,-0.0026259040214686447,0.06138090960174845,0.04376681734303296,10,4,0.18562422594805006
S14_target_horizon_lg0.75_lt0.00_smooth,0.0525738634723907,-0.0026259040214686447,0.06138090960174845,0.04376681734303296,10,4,0.18562422594805006
S05_target_horizon_lg0.25_lt0.25_raw,0.052574151571730995,-0.0025970940874392445,0.061381485800429035,0.04376681734303296,11,5,0.18745626114887448
S09_target_horizon_lg0.50_lt0.00_raw,0.052574151571730995,-0.0025970940874392445,0.061381485800429035,0.04376681734303296,11,5,0.18745626114887448
S04_target_horizon_lg0.25_lt0.00_smooth,0.052574636257246524,-0.0025486255358864174,0.061382455171460085,0.04376681734303296,13,5,0.18898392371357042
S00_global,0.05257642643267075,-0.0023696079934638903,0.06138603552230854,0.04376681734303296,10,4,0.18435828246853858
S01_target,0.05257642643267075,-0.0023696079934638903,0.06138603552230854,0.04376681734303296,10,4,0.18435828246853858
S03_target_horizon_lg0.25_lt0.00_raw,0.05257713125257758,-0.0022991260027804827,0.061387445162122196,0.04376681734303296,12,5,0.18974256256113764
S02_horizon,0.052582393871070485,-0.0017728641534903167,0.061397970399108,0.04376681734303296,12,4,0.1925501695501708
